OBJECTID,Site_Name,State,Operational_Status,Reporting_Component,Is_Joint_Base,latitude,longitude,Location,Region,Coordinates
48,Robins Air Force Base,,act,xlsx,,32.64,-83.59166666666667,Warner Robins,Georgia,32°38′24″N 083°35′30″W
49,Rome Research Site,,act,xlsx,,43.221111111111114,-10.256666666666666,Rome,New York,43°13′16.9″N 75°24′30.8″W
50,Joint Base San Antonio,,act,xlsx,,29.448888888888888,-98.44888888888889,San Antonio,Texas,29°26′56″N 098°26′56″W
51,Scott Air Force Base,,act,xlsx,,38.54527777777778,-89.83527777777778,Belleville,Illinois,38°32′43″N 089°50′07″W
52,Seymour Johnson Air Force Base,,act,xlsx,,35.339444444444446,-77.96055555555556,Goldsboro,North Carolina,35°20′22″N 077°57′38″W
53,Shaw Air Force Base,,act,xlsx,,33.973055555555554,-80.47277777777778,Sumter,South Carolina,33°58′23″N 080°28′22″W
54,Sheppard Air Force Base,,act,xlsx,,33.98888888888889,-98.49194444444444,Wichita Falls,Texas,33°59′20″N 098°29′31″W
55,Tinker Air Force Base,,act,xlsx,,35.414722222222224,-97.38666666666667,Oklahoma City,Oklahoma,35°24′53″N 097°23′12″W
56,Tonopah Test Range Airport,,act,xlsx,,37.79472222222222,-116.7786111111111,Tonopah,Nevada,37°47′41″N 116°46′43″W
57,Travis Air Force Base,,act,xlsx,,38.26277777777778,-121.92750000000001,Fairfield,California,38°15′46″N 121°55′39″W
58,Tyndall Air Force Base,,act,xlsx,,30.078611111111112,-85.57638888888889,Panama City,Florida,30°4′43″N 85°34′35″W
59,United States Air Force Academy,,act,xlsx,,38.99027777777778,-104.85833333333333,Colorado Springs,Colorado,38°59′25″N 104°51′30″W
60,Vance Air Force Base,,act,xlsx,,36.339444444444446,-97.91722222222222,Enid,Oklahoma,36°20′22″N 097°55′02″W
61,Whiteman Air Force Base,,act,xlsx,,38.73027777777778,-93.54805555555555,Knob Noster,Missouri,38°43′49″N 093°32′53″W
62,Wright-Patterson Air Force Base,,act,xlsx,,39.823055555555555,-84.04944444444445,Dayton,Ohio,39°49′23″N 084°02′58″W
63,Abston Air National Guard Station,,act,xlsx,,32.35611111111111,-86.34666666666666,Montgomery,Alabama,32°21′22″N 086°20′48″W
64,Atlantic City Air National Guard Base,,act,xlsx,,39.448055555555555,-74.58166666666666,Egg Harbor,New Jersey,39°26′53″N 074°34′54″W
65,Bangor Air National Guard Base,,act,xlsx,,44.814166666666665,-68.83083333333333,Bangor,Maine,44°48′51″N 068°49′51″W
