OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
117,McEntire Joint National Guard Base,,33.920833333333334,-80.80111111111111,act,xlsx,,America/New_York,2026-03-03T11:00,52.6,77,48.5,1,0.0,0.0,0.0,0.0,3,95,1030.0,1020.8,11.1,25,14.0
118,McGhee Tyson Air National Guard Base,,35.81083333333333,-83.99388888888889,act,xlsx,,America/New_York,2026-03-03T11:00,64.9,57,60.5,1,0.0,0.0,0.0,0.0,2,65,1024.2,990.0,15.9,218,27.0
119,McLaughlin Air National Guard Base,,38.37305555555555,-81.59305555555555,act,xlsx,,America/New_York,2026-03-03T11:00,57.2,72,54.9,1,0.0,0.0,0.0,0.0,3,100,1023.4,989.3,6.9,186,25.6
120,Memphis Air National Guard Base,,35.0425,-89.97666666666667,act,xlsx,,America/Chicago,2026-03-03T10:00,66.1,80,63.2,1,0.0,0.0,0.0,0.0,2,77,1020.0,1009.6,23.4,191,41.0
121,Minneapolis-Saint Paul Joint Air Reserve Station,,44.88166666666667,-93.23361111111112,act,xlsx,,America/Chicago,2026-03-03T10:00,40.2,86,35.2,1,0.0,0.0,0.0,0.0,3,100,1018.9,987.8,7.0,192,14.0
122,Moffett Federal Airfield,,37.415,-122.04833333333332,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,55.3,93,55.1,1,0.0,0.0,0.0,0.0,3,100,1020.2,1019.8,4.7,122,10.4
123,Montgomery Air National Guard Base,,32.30444444444444,-86.40027777777779,act,xlsx,,America/Chicago,2026-03-03T10:00,64.2,81,61.6,1,0.0,0.0,0.0,0.0,3,100,1024.8,1017.7,20.2,121,31.7
124,Morris Air National Guard Base,,32.11527777777778,-110.93055555555556,act,xlsx,,America/Phoenix,2026-03-03T09:00,68.9,19,62.1,1,0.0,0.0,0.0,0.0,0,0,1012.6,923.8,7.6,161,9.0
125,New Castle Air National Guard Base,,39.68527777777778,-75.59916666666666,act,xlsx,,America/New_York,2026-03-03T11:00,35.9,97,31.4,1,0.0,0.0,0.0,0.0,3,100,1031.6,1029.3,4.8,27,11.5
126,New London Air National Guard Base,,35.41833333333333,-10.335555555555556,act,xlsx,,Etc/GMT+1,2026-03-03T15:00,57.7,78,50.9,1,0.0,0.0,0.0,0.0,3,100,1007.6,1007.6,27.0,93,45.0
127,Naval Air Station Joint Reserve Base New Orleans,,29.82527777777777,-90.035,act,xlsx,,America/Chicago,2026-03-03T10:00,76.2,70,78.9,1,0.0,0.0,0.0,0.0,0,9,1021.7,1021.9,16.1,132,20.9
128,Niagara Falls Air Reserve Station,,43.11333333333334,-78.9475,act,xlsx,,America/New_York,2026-03-03T11:00,37.6,78,32.4,1,0.0,0.0,0.0,0.0,3,100,1023.4,1000.3,4.9,54,5.4
129,North Highlands Air National Guard Station,,38.64,-121.4025,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,46.5,98,45.2,1,0.0,0.0,0.0,0.0,3,89,1020.1,1017.7,1.0,315,6.8
130,North Smithfield Air National Guard Station,,41.97027777777778,-71.57555555555555,act,xlsx,,America/New_York,2026-03-03T11:00,29.0,64,21.0,1,0.0,0.0,0.0,0.0,2,52,1035.0,1016.1,9.6,167,23.4
131,Otis Air National Guard Base,,41.65861111111111,-70.5213888888889,act,xlsx,,America/New_York,2026-03-03T11:00,33.1,72,24.7,1,0.0,0.0,0.0,0.0,2,70,1036.3,1031.8,14.1,161,23.4
132,Pease Air National Guard Base,,43.07805555555556,-70.82333333333332,act,xlsx,,America/New_York,2026-03-03T11:00,34.9,33,24.6,1,0.0,0.0,0.0,0.0,3,100,1035.3,1032.3,18.0,200,30.6
133,Peoria Air National Guard Base,,40.660555555555554,-89.69555555555556,act,xlsx,,America/Chicago,2026-03-03T10:00,39.8,95,35.1,1,0.0,0.0,0.0,0.0,3,100,1018.2,994.3,7.5,145,16.2
134,Peterson Space Force Base,,38.82361111111111,-104.695,act,xlsx,,America/Denver,2026-03-03T09:00,47.7,53,36.4,1,0.0,0.0,0.0,0.0,0,0,1012.3,808.6,28.1,359,39.2
135,Pittsburgh International Airport Air Reserve Station,,40.49444444444445,-50.336666666666666,act,xlsx,,Etc/GMT+3,2026-03-03T13:00,40.8,69,28.7,1,0.0,0.0,0.0,0.0,2,75,1038.2,1038.2,31.2,326,42.1
136,Portland Air National Guard Base,,45.58222222222223,-122.58972222222222,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,49.0,94,47.7,1,0.0,0.0,0.0,0.0,3,100,1019.5,1019.0,2.1,121,13.3
137,Quonset Point Air National Guard Station,,41.59722222222222,-71.41222222222223,act,xlsx,,America/New_York,2026-03-03T11:00,33.6,73,27.4,1,0.0,0.0,0.0,0.0,1,47,1035.5,1035.2,9.1,146,18.7
138,Reno Air National Guard Base,,39.49916666666667,-119.76805555555556,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,36.2,71,31.4,1,0.0,0.0,0.0,0.0,0,0,1019.8,865.9,1.6,333,2.2
139,Rickenbacker Air National Guard Base,,39.81361111111111,-82.94666666666667,act,xlsx,,America/New_York,2026-03-03T11:00,44.9,92,40.7,1,0.0,0.0,0.0,0.0,3,100,1020.5,992.8,9.0,182,27.7
140,Roland R. Wright Air National Guard Base,,40.78833333333333,-111.97777777777776,act,xlsx,,America/Denver,2026-03-03T09:00,42.3,85,38.5,1,0.0,0.0,0.0,0.0,3,100,1023.0,875.9,3.8,221,7.9
141,Rosecrans Air National Guard Base,,39.77194444444444,-94.90944444444445,act,xlsx,,America/Chicago,2026-03-03T10:00,40.0,94,35.3,1,0.0,0.0,0.0,0.0,3,100,1015.6,985.4,7.6,82,16.9
142,San Diego Air National Guard Station,,32.83611111111112,-117.16055555555556,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,56.4,86,56.7,1,0.0,0.0,0.0,0.0,0,16,1016.3,1000.1,1.5,166,6.8
143,Savannah Air National Guard Base,,32.1275,-81.20194444444445,act,xlsx,,America/New_York,2026-03-03T11:00,61.1,82,60.1,1,0.0,0.0,0.0,0.0,3,100,1027.8,1026.3,10.7,45,18.0
144,Schriever Space Force Base,,38.80333333333333,-104.52555555555556,act,xlsx,,America/Denver,2026-03-03T09:00,46.8,52,34.0,1,0.0,0.0,0.0,0.0,0,0,1012.0,806.3,33.1,12,42.8
145,Selfridge Air National Guard Base,,42.60833333333333,-82.83555555555554,act,xlsx,,America/Detroit,2026-03-03T11:00,35.0,72,28.7,1,0.0,0.0,0.0,0.0,3,100,1022.0,999.9,6.5,84,16.9
146,Sepulveda Air National Guard Station,,34.18583333333333,-5.974444444444445,act,xlsx,,Africa/Casablanca,2026-03-03T16:00,52.1,87,48.5,1,0.7,0.6,0.1,0.0,63,100,1009.4,1003.8,11.8,243,25.2
147,Shepherd Field Air National Guard Base,,39.401944444444446,-77.98444444444445,act,xlsx,,America/New_York,2026-03-03T11:00,35.4,98,27.7,1,0.0,0.0,0.0,0.0,3,100,1029.0,1008.4,16.6,139,30.6
148,Sioux City Air National Guard Base,,42.39833333333333,-96.37194444444444,act,xlsx,,America/Chicago,2026-03-03T10:00,41.2,88,36.0,1,0.0,0.0,0.0,0.0,3,100,1016.4,975.8,9.2,169,10.4
149,South Portland Air National Guard Station,,43.63333333333333,-10.171666666666669,act,xlsx,,Etc/GMT+1,2026-03-03T15:00,55.8,91,53.7,1,0.0,0.0,0.0,0.0,0,0,1017.1,1017.1,12.1,23,16.9
150,Springfield Air National Guard Base,,39.84027777777778,-83.84027777777777,act,xlsx,,America/New_York,2026-03-03T11:00,47.6,85,41.6,1,0.0,0.0,0.0,0.0,3,100,1019.9,981.6,16.7,199,37.1
151,Stewart Air National Guard Base,,41.50416666666667,-74.10472222222222,act,xlsx,,America/New_York,2026-03-03T11:00,30.7,89,23.6,1,0.1,0.0,0.0,0.07,73,100,1032.2,1014.3,10.2,132,25.9
152,Stratton Air National Guard Base,,42.8525,-73.9225,act,xlsx,,America/New_York,2026-03-03T11:00,30.4,61,22.3,1,0.0,0.0,0.0,0.0,3,100,1031.1,1017.5,9.9,136,20.2
153,Sumpter Smith Air National Guard Base,,33.56388888888888,-86.75222222222222,act,xlsx,,America/Chicago,2026-03-03T10:00,62.6,78,58.7,1,0.0,0.0,0.0,0.0,2,61,1023.5,1001.6,21.7,140,38.5
154,Toledo Air National Guard Base,,41.586666666666666,-6.3966666666666665,act,xlsx,,Europe/Lisbon,2026-03-03T16:00,60.5,47,53.0,1,0.0,0.0,0.0,0.0,1,19,1014.3,929.5,19.2,73,36.7
155,Truax Field Air National Guard Base,,43.13972222222222,-89.33749999999999,act,xlsx,,America/Chicago,2026-03-03T10:00,39.6,73,33.6,1,0.0,0.0,0.0,0.0,3,100,1019.6,987.6,8.3,180,14.0
156,Tulsa Air National Guard Base,,36.19833333333333,-95.88805555555555,act,xlsx,,America/Chicago,2026-03-03T10:00,68.8,79,66.6,1,0.0,0.0,0.0,0.0,3,90,1012.1,989.9,24.3,188,51.1
157,Volk Field Air National Guard Base,,43.936388888888885,-90.25972222222222,act,xlsx,,America/Chicago,2026-03-03T10:00,41.2,68,36.5,1,0.0,0.0,0.0,0.0,1,20,1019.6,985.9,3.1,144,7.2
158,Volunteer Air National Guard Station,,35.07333333333334,-92.41916666666668,act,xlsx,,America/Chicago,2026-03-03T10:00,59.7,82,57.9,1,0.0,0.0,0.0,0.0,3,100,1018.4,1006.5,12.0,196,31.7
159,Warfield Air National Guard Base,,39.32555555555556,-39.27333333333333,act,xlsx,,Etc/GMT+3,2026-03-03T13:00,55.7,74,46.5,1,0.1,0.1,0.0,0.0,61,100,1028.1,1028.1,32.6,354,46.4
160,Westover Air Reserve Base,,42.193888888888885,-72.53472222222221,act,xlsx,,America/New_York,2026-03-03T11:00,27.8,69,21.2,1,0.0,0.0,0.0,0.0,3,100,1033.8,1024.6,4.4,171,16.9
161,Will Rogers Air National Guard Base,,35.39305555555556,-97.60083333333333,act,xlsx,,America/Chicago,2026-03-03T10:00,69.9,59,61.1,1,0.0,0.0,0.0,0.0,0,8,1010.1,965.5,39.5,193,60.1
162,Wyoming Air National Guard Base,,41.16138888888889,-104.81944444444444,act,xlsx,,America/Denver,2026-03-03T09:00,38.5,94,31.2,1,0.0,0.0,0.0,0.0,3,100,1017.5,811.6,16.6,360,26.3
163,Youngstown Air Reserve Station,,41.26055555555556,-65.34444444444443,act,xlsx,,Etc/GMT+4,2026-03-03T12:00,36.1,69,26.0,1,0.0,0.0,0.0,0.0,2,58,1038.7,1038.7,21.3,154,26.6
164,Zanesville Air National Guard Base,,39.94638888888888,-7.364722222222221,act,xlsx,,Europe/Lisbon,2026-03-03T16:00,64.5,51,58.2,1,0.0,0.0,0.0,0.0,1,37,1012.6,972.7,19.9,86,40.0
165,Guantanamo Bay Naval Base,,19.9,-75.15,act,xlsx,,America/New_York,2026-03-03T11:00,85.7,56,90.7,1,0.0,0.0,0.0,0.0,1,37,1016.3,1012.3,16.2,90,25.9
166,Hato International Airport,,12.18888888888889,-68.95972222222223,act,xlsx,,America/Curacao,2026-03-03T12:00,81.7,72,82.9,1,0.0,0.0,0.0,0.0,2,45,1012.0,1011.2,38.8,107,53.6
167,Muñiz Air National Guard Base,,18.439444444444444,-66.00194444444445,act,xlsx,,America/Puerto_Rico,2026-03-03T12:00,86.6,49,87.4,1,0.0,0.0,0.0,0.0,2,76,1017.5,1017.4,25.2,100,48.2
168,Punta Borinquen Radar Station,,18.485,-67.14888888888889,act,xlsx,,America/Puerto_Rico,2026-03-03T12:00,87.7,45,91.6,1,0.0,0.0,0.0,0.0,2,61,1016.5,1007.8,13.7,90,20.9
169,Punta Salinas Air National Guard Station,,18.375,-66.26166666666667,act,xlsx,,America/Puerto_Rico,2026-03-03T12:00,83.3,47,82.8,1,0.0,0.0,0.0,0.0,2,75,1017.5,1004.0,23.7,100,51.8
170,Queen Beatrix International Airport,,12.501388888888888,-70.01527777777778,act,xlsx,,America/Aruba,2026-03-03T12:00,81.1,76,82.8,1,0.0,0.0,0.0,0.0,2,46,1011.6,1010.7,39.0,104,52.6
171,Soto Cano Air Base,,14.3825,-87.6211111111111,act,xlsx,,America/Tegucigalpa,2026-03-03T10:00,74.4,60,76.0,1,0.0,0.0,0.0,0.0,1,33,1016.8,946.7,15.4,344,36.0
172,St Croix Air National Guard Station,,17.706666666666667,-3.08,act,xlsx,,Africa/Bamako,2026-03-03T16:00,87.0,20,83.4,1,0.0,0.0,0.0,0.0,3,100,1010.3,979.7,5.4,86,10.1
173,Ämari Air Base,,59.26222222222222,24.21861111111111,act,xlsx,,Europe/Tallinn,2026-03-03T18:00,35.5,97,26.9,0,0.0,0.0,0.0,0.0,3,100,1014.8,1012.3,19.8,196,44.3
174,Aviano Air Base,,46.03138888888889,12.596944444444444,act,xlsx,,Europe/Rome,2026-03-03T17:00,53.3,86,52.1,1,0.0,0.0,0.0,0.0,80,100,1027.2,1013.4,3.7,331,11.2
175,Büchel Air Base,,50.17638888888889,7.057777777777778,act,xlsx,,Europe/Berlin,2026-03-03T17:00,56.2,66,52.8,1,0.0,0.0,0.0,0.0,0,0,1025.8,969.3,7.9,218,16.2
176,Camp Darby,,43.63333333333333,10.316666666666666,act,xlsx,,Europe/Rome,2026-03-03T17:00,59.1,78,57.8,1,0.0,0.0,0.0,0.0,3,77,1025.5,1024.5,7.6,245,16.2
177,Camp Lemonnier,,11.543611111111112,43.14861111111111,act,xlsx,,Africa/Djibouti,2026-03-03T19:00,79.0,77,84.3,0,0.0,0.0,0.0,0.0,1,38,1010.9,1009.3,12.9,77,27.7
178,Camp Simba,,-2.165555555555556,8.681388888888888,act,xlsx,,Etc/GMT-1,2026-03-03T17:00,82.1,82,89.3,1,0.0,0.0,0.0,0.0,3,100,1008.5,1008.5,16.8,189,24.8
179,Câmpia Turzii (71st Air Base),,46.50333333333333,23.885277777777777,act,xlsx,,Europe/Bucharest,2026-03-03T18:00,51.9,38,45.6,1,0.0,0.0,0.0,0.0,0,0,1026.0,986.5,6.9,351,16.6
180,Chabelley Airfield,,11.516666666666667,43.06666666666667,act,xlsx,,Africa/Djibouti,2026-03-03T19:00,78.2,77,83.0,0,0.0,0.0,0.0,0.0,1,38,1010.9,1000.8,12.9,77,27.7
181,Chièvres Air Base,,50.58583333333333,58.06388888888888,act,xlsx,,Asia/Aqtobe,2026-03-03T21:00,26.6,93,15.8,0,0.0,0.0,0.0,0.0,3,100,1016.9,962.3,22.9,196,32.8
182,Einsiedlerhof Air Station,,49.42833333333333,7.1175,act,xlsx,,Europe/Berlin,2026-03-03T17:00,58.6,67,57.3,1,0.0,0.0,0.0,0.0,0,0,1026.0,989.3,2.5,275,7.6
183,Ghedi Air Base,,45.43111111111111,57.17111111111111,act,xlsx,,Asia/Aqtobe,2026-03-03T21:00,35.7,80,28.9,0,0.0,0.0,0.0,0.0,3,95,1021.3,1010.3,10.1,182,15.5
184,Incirlik Air Base,,37.00194444444445,35.42583333333333,act,xlsx,,Europe/Istanbul,2026-03-03T19:00,56.4,40,50.9,0,0.0,0.0,0.0,0.0,1,18,1021.5,1014.0,6.4,223,20.9
185,Izmir Air Station,,38.4575,27.17027777777778,act,xlsx,,Europe/Istanbul,2026-03-03T19:00,58.9,67,57.0,1,0.0,0.0,0.0,0.0,2,70,1023.3,1022.9,5.4,270,16.9
186,Kleine Brogel Air Base,,51.16944444444445,5.091111111111111,act,xlsx,,Europe/Brussels,2026-03-03T17:00,62.2,56,59.7,1,0.0,0.0,0.0,0.0,0,0,1026.0,1021.9,5.8,321,11.2
187,Lajes Field,,38.76166666666666,-27.09055555555556,act,xlsx,,Atlantic/Azores,2026-03-03T15:00,64.7,77,64.6,1,0.0,0.0,0.0,0.0,3,89,1026.1,1020.1,9.8,234,23.8
188,Łask Air Base,,51.55138888888889,76.31944444444444,act,xlsx,,Asia/Qyzylorda,2026-03-03T21:00,20.4,91,13.6,0,0.0,0.0,0.0,0.0,71,79,1025.6,1006.2,4.7,238,6.5
189,Morón Air Base,,37.17472222222222,-5.615833333333333,act,xlsx,,Europe/Madrid,2026-03-03T17:00,69.2,52,66.4,1,0.0,0.0,0.0,0.0,2,49,1008.1,998.4,12.0,49,28.1
190,NATO Air Base Geilenkirchen,,50.96083333333333,6.0425,act,xlsx,,Europe/Berlin,2026-03-03T17:00,63.5,52,60.7,1,0.0,0.0,0.0,0.0,0,0,1025.9,1016.1,6.1,346,14.0
191,RAF Akrotiri,,34.583333333333336,32.983333333333334,act,xlsx,,Asia/Nicosia,2026-03-03T18:00,59.8,63,54.8,0,0.0,0.0,0.0,0.0,1,41,1022.5,1018.6,16.3,262,28.8
192,RAF Alconbury,,52.37083333333334,-27.00361111111112,act,xlsx,,Etc/GMT+2,2026-03-03T14:00,42.2,72,28.0,1,0.0,0.0,0.0,0.0,3,100,1009.3,1009.3,40.3,272,58.3
193,RAF Barford St John,,52.00361111111111,-1.36,act,xlsx,,Europe/London,2026-03-03T16:00,52.5,73,47.9,1,0.0,0.0,0.0,0.0,3,99,1027.4,1013.0,11.5,82,22.0
194,RAF Croughton,,51.9875,-1.1861111111111111,act,xlsx,,Europe/London,2026-03-03T16:00,52.1,73,47.6,1,0.0,0.0,0.0,0.0,3,97,1027.4,1010.9,11.2,76,20.9
195,RAF Fairford,,51.68222222222222,-1.7899999999999998,act,xlsx,,Europe/London,2026-03-03T16:00,54.0,73,49.4,1,0.0,0.0,0.0,0.0,3,95,1026.9,1016.9,13.0,74,23.0
196,RAF Feltwell,,52.47944444444445,0.5191666666666667,act,xlsx,,Europe/London,2026-03-03T16:00,52.1,65,46.9,1,0.0,0.0,0.0,0.0,3,91,1028.4,1026.8,11.2,76,20.2
197,RAF Lakenheath,,52.40833333333333,0.5566666666666668,act,xlsx,,Europe/London,2026-03-03T16:00,52.6,63,47.7,1,0.0,0.0,0.0,0.0,0,5,1028.3,1027.4,9.7,82,18.4
198,RAF Menwith Hill,,54.007777777777775,-35.028055555555554,act,xlsx,,Etc/GMT+2,2026-03-03T14:00,30.7,73,12.3,1,0.1,0.0,0.0,0.0,85,100,1004.3,1004.3,51.0,254,79.6
199,RAF Mildenhall,,52.365,0.4808333333333333,act,xlsx,,Europe/London,2026-03-03T16:00,53.1,62,47.6,1,0.0,0.0,0.0,0.0,2,58,1028.2,1027.3,12.2,78,22.7
200,RAF Molesworth,,52.379444444444445,-0.405,act,xlsx,,Europe/London,2026-03-03T16:00,51.6,72,47.0,1,0.0,0.0,0.0,0.0,3,100,1028.1,1019.2,10.4,56,19.1
201,RAF Welford,,51.46833333333333,-1.403611111111111,act,xlsx,,Europe/London,2026-03-03T16:00,55.0,72,51.8,1,0.0,0.0,0.0,0.0,3,95,1026.7,1008.7,8.6,88,17.3
202,Ramstein Air Base,,49.443888888888885,10.126666666666669,act,xlsx,,Europe/Berlin,2026-03-03T17:00,54.3,59,51.0,1,0.0,0.0,0.0,0.0,1,45,1026.1,988.9,3.6,45,7.9
203,Spangdahlem Air Base,,49.97583333333333,6.697222222222223,act,xlsx,,Europe/Berlin,2026-03-03T17:00,59.8,56,57.3,1,0.0,0.0,0.0,0.0,0,0,1025.9,983.9,3.6,257,12.6
204,Stavanger,,58.9075,5.721666666666667,act,xlsx,,Europe/Oslo,2026-03-03T17:00,44.2,83,36.6,1,0.0,0.0,0.0,0.0,3,100,1024.0,1015.2,19.4,271,39.2
205,Volkel Air Base,,51.657222222222224,5.690833333333334,act,xlsx,,Europe/Amsterdam,2026-03-03T17:00,61.0,61,58.2,1,0.0,0.0,0.0,0.0,0,0,1026.2,1022.9,8.3,344,14.8
206,Abdullah Al Mubarak Air Base (Cargo City),,29.226666666666667,47.98,act,xlsx,,Asia/Kuwait,2026-03-03T19:00,64.9,18,56.8,0,0.0,0.0,0.0,0.0,2,57,1016.7,1010.9,10.7,315,23.0
207,Al Dhafra Air Base,,24.24805555555556,54.5475,act,xlsx,,Asia/Dubai,2026-03-03T20:00,81.2,49,82.3,0,0.0,0.0,0.0,0.0,1,36,1010.1,1007.8,8.9,14,18.4
208,Al Udeid Air Base,,25.11722222222222,51.31472222222222,act,xlsx,,Asia/Qatar,2026-03-03T19:00,66.9,75,63.0,0,0.0,0.0,0.0,0.0,3,100,1013.2,1009.1,26.3,347,40.3
209,Muwaffaq Salti Air Base,,31.834166666666665,36.78722222222222,act,xlsx,,Asia/Amman,2026-03-03T19:00,60.4,20,52.9,0,0.0,0.0,0.0,0.0,0,0,1020.4,960.2,7.9,317,11.9
210,Prince Sultan Air Base,,24.05527777777778,47.56361111111111,act,xlsx,,Asia/Riyadh,2026-03-03T19:00,54.8,76,49.3,0,0.2,0.0,0.2,0.0,80,79,1016.3,958.0,18.4,360,28.8
