OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
28,Keesler Air Force Base,,30.411388888888887,-88.92361111111111,act,xlsx,,America/Chicago,2026-03-03T10:00,67.2,93,67.9,1,0.0,0.0,0.0,0.0,3,100,1023.1,1022.6,18.5,114,34.2
29,Kegelman Air Force Auxiliary Field,,36.73805555555556,-98.1261111111111,act,xlsx,,America/Chicago,2026-03-03T10:00,54.0,81,51.2,1,0.0,0.0,0.0,0.0,3,100,1010.5,967.2,8.8,261,14.4
30,Kirtland Air Force Base,,35.040277777777774,-106.60916666666668,act,xlsx,,America/Denver,2026-03-03T09:00,56.5,22,50.2,1,0.0,0.0,0.0,0.0,0,0,1013.7,838.9,3.1,339,13.7
31,Joint Base Langley–Eustis,,37.08277777777778,-76.36055555555555,act,xlsx,,America/New_York,2026-03-03T11:00,44.3,95,42.1,1,0.0,0.0,0.0,0.0,3,100,1030.6,1030.3,1.8,53,5.4
32,Laughlin Air Force Base,,29.35944444444445,-100.77805555555555,act,xlsx,,America/Chicago,2026-03-03T10:00,66.9,85,65.1,1,0.0,0.0,0.0,0.0,3,100,1013.6,975.6,23.5,130,33.8
33,Joint Base Lewis-McChord,,47.1475,-122.47944444444444,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,45.7,95,43.3,1,0.0,0.0,0.0,0.0,3,100,1017.9,1007.3,3.8,229,15.5
34,Little Rock Air Force Base,,34.91694444444444,-92.1463888888889,act,xlsx,,America/Chicago,2026-03-03T10:00,60.5,82,58.5,1,0.0,0.0,0.0,0.0,3,91,1018.7,1007.6,13.7,194,35.6
35,Luke Air Force Base,,33.535,-112.38305555555554,act,xlsx,,America/Phoenix,2026-03-03T09:00,69.9,23,61.8,1,0.0,0.0,0.0,0.0,0,0,1012.5,974.9,15.4,53,31.3
36,MacDill Air Force Base,,27.849444444444444,-82.52111111111111,act,xlsx,,America/New_York,2026-03-03T11:00,74.9,75,80.2,1,0.0,0.0,0.0,0.0,1,28,1023.4,1023.0,10.5,52,21.2
37,Malmstrom Air Force Base,,47.50472222222222,-111.18722222222225,act,xlsx,,America/Denver,2026-03-03T09:00,44.7,28,33.2,1,0.0,0.0,0.0,0.0,0,0,1017.5,895.8,21.1,240,35.6
38,Maxwell Air Force Base,,32.37916666666667,-86.3625,act,xlsx,,America/Chicago,2026-03-03T10:00,63.8,80,61.7,1,0.0,0.0,0.0,0.0,3,100,1024.9,1019.0,17.2,116,31.0
39,McConnell Air Force Base,,37.62305555555555,-97.26722222222222,act,xlsx,,America/Chicago,2026-03-03T10:00,51.3,86,47.7,1,0.0,0.0,0.0,0.0,3,100,1011.4,962.9,10.9,81,15.1
40,Joint Base McGuire–Dix–Lakehurst,,40.01916666666666,-74.52277777777778,act,xlsx,,America/New_York,2026-03-03T11:00,35.7,95,29.8,1,0.1,0.1,0.0,0.0,51,100,1031.8,1028.1,9.4,67,30.6
41,Minot Air Force Base,,48.41583333333333,-101.35805555555557,act,xlsx,,America/Chicago,2026-03-03T10:00,18.6,88,11.0,1,0.0,0.0,0.0,0.0,1,37,1018.6,955.2,7.2,127,7.9
42,Moody Air Force Base,,30.967777777777776,-83.19277777777778,act,xlsx,,America/New_York,2026-03-03T11:00,62.5,85,61.5,1,0.0,0.0,0.0,0.0,3,88,1026.5,1018.3,13.9,65,20.2
43,Mountain Home Air Force Base,,43.04361111111111,-115.8725,act,xlsx,,America/Boise,2026-03-03T09:00,38.1,87,33.2,1,0.0,0.0,0.0,0.0,0,0,1021.5,913.8,5.7,108,7.6
44,Nellis Air Force Base,,36.23611111111112,-115.03416666666666,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,62.8,26,56.6,1,0.0,0.0,0.0,0.0,0,0,1017.1,952.4,6.3,66,10.4
45,North Auxiliary Airfield,,33.61694444444444,-81.08305555555555,act,xlsx,,America/New_York,2026-03-03T11:00,52.1,86,48.2,1,0.0,0.0,0.0,0.0,3,100,1029.6,1017.9,12.9,30,17.6
46,Offutt Air Force Base,,41.11944444444445,-95.90861111111111,act,xlsx,,America/Chicago,2026-03-03T10:00,42.6,84,38.7,1,0.0,0.0,0.0,0.0,3,85,1015.9,978.7,4.2,149,4.3
47,Pope Field,,35.170833333333334,-79.01444444444445,act,xlsx,,America/New_York,2026-03-03T11:00,47.9,77,44.1,1,0.0,0.0,0.0,0.0,3,99,1031.0,1023.5,6.3,24,7.9
48,Robins Air Force Base,,32.64,-83.59166666666667,act,xlsx,,America/New_York,2026-03-03T11:00,57.1,83,54.6,1,0.0,0.0,0.0,0.0,3,100,1027.4,1017.3,11.7,81,20.5
