OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m,daily_temperature_2m_max_7day_avg,daily_temperature_2m_min_7day_avg,daily_temperature_2m_mean_7day_avg,daily_apparent_temperature_max_7day_avg,daily_apparent_temperature_min_7day_avg,daily_precipitation_sum_7day_avg,daily_rain_sum_7day_avg,daily_snowfall_sum_7day_avg,daily_wind_speed_10m_max_7day_avg,daily_wind_gusts_10m_max_7day_avg,daily_sunshine_duration_7day_avg,daily_uv_index_max_7day_avg,daily_shortwave_radiation_sum_7day_avg,daily_precipitation_hours_7day_avg,daily_et0_fao_evapotranspiration_7day_avg,Cluster
13,Dyess Air Force Base,,32.420833333333334,-99.85472222222222,act,xlsx,,America/Chicago,2026-03-03T10:00,70.9,62,64.6,1,0.0,0.0,0.0,0.0,0,6,1009.4,948.2,32.8,193,57.6,75.58571428571429,58.01428571428572,66.0,71.89999999999999,53.82857142857143,2.6999999999999997,0.07142857142857142,0.0,35.128571428571426,60.57142857142857,27802.260000000002,4.835714285714286,13.072857142857144,5.0,3.63,2
14,Edwards Air Force Base,,34.90555555555555,-117.88361111111112,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,45.0,68,40.9,1,0.0,0.0,0.0,0.0,0,0,1017.3,935.0,2.9,30,4.3,67.54285714285713,46.199999999999996,56.31428571428571,59.5,38.714285714285715,0.1285714285714286,0.0,0.0,33.08571428571428,52.357142857142854,37073.16142857143,6.107142857142857,19.774285714285714,0.8571428571428571,5.051428571428572,0
15,Eglin Air Force Base,,30.48333333333333,-86.53333333333333,act,xlsx,,America/Chicago,2026-03-03T10:00,66.5,85,66.7,1,0.0,0.0,0.0,0.0,0,16,1024.4,1021.3,17.2,123,32.8,76.10000000000001,60.87142857142857,67.48571428571428,78.67142857142858,62.24285714285714,0.0,0.0,0.0,17.12857142857143,26.900000000000002,35679.59285714286,6.542857142857143,19.398571428571426,0.0,3.391428571428571,2
16,Ellsworth Air Force Base,,44.145,-103.1036111111111,act,xlsx,,America/Denver,2026-03-03T09:00,48.5,28,38.0,1,0.0,0.0,0.0,0.0,0,11,1017.8,905.2,18.6,350,36.0,58.32857142857143,34.08571428571428,45.471428571428575,49.6,23.97142857142857,1.1428571428571428,0.2285714285714286,0.55,32.028571428571425,46.9,32205.505714285715,3.957142857142857,12.92,1.4285714285714286,3.0242857142857145,0
17,Francis E. Warren Air Force Base,,41.13305555555556,-104.86694444444444,act,xlsx,,America/Denver,2026-03-03T09:00,38.8,93,31.9,1,0.0,0.0,0.0,0.0,3,100,1017.6,810.6,14.8,359,25.9,50.44285714285714,31.7,40.528571428571425,40.800000000000004,19.914285714285715,2.3000000000000003,1.4285714285714286,0.6,35.75714285714286,59.642857142857146,31445.10714285714,5.2,15.709999999999999,2.142857142857143,2.9728571428571433,1
18,Fairchild Air Force Base,,47.615,-117.65555555555557,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,35.4,84,29.7,1,0.0,0.0,0.0,0.0,3,100,1018.7,929.6,6.6,167,19.4,48.1,34.142857142857146,41.17142857142857,39.800000000000004,26.82857142857143,0.09999999999999999,0.05714285714285715,0.0,25.900000000000002,45.41428571428571,24337.555714285718,2.9714285714285715,9.635714285714286,0.42857142857142855,1.4428571428571428,1
19,Fort George G. Meade,,39.10694444444445,-76.74305555555556,act,xlsx,,America/New_York,2026-03-03T11:00,32.7,99,27.5,1,0.0,0.0,0.0,0.0,45,100,1031.3,1022.5,5.6,27,6.8,64.34285714285714,45.028571428571425,53.82857142857143,63.08571428571428,40.300000000000004,2.475714285714286,1.0757142857142856,0.15,17.47142857142857,43.91428571428571,24669.65428571429,4.0,11.258571428571429,4.571428571428571,1.912857142857143,1
20,Gila Bend Air Force Auxiliary Field,,32.8875,-112.72,act,xlsx,,America/Phoenix,2026-03-03T09:00,66.5,25,61.9,1,0.0,0.0,0.0,0.0,0,0,1012.7,982.6,1.8,143,5.4,80.74285714285715,57.471428571428575,68.31428571428572,73.75714285714285,51.357142857142854,0.0,0.0,0.0,23.357142857142858,31.057142857142857,37779.55857142857,6.2,20.240000000000002,0.0,5.808571428571428,0
21,Goodfellow Air Force Base,,31.42944444444445,-100.39888888888888,act,xlsx,,America/Chicago,2026-03-03T10:00,71.2,54,65.6,1,0.0,0.0,0.0,0.0,0,4,1010.7,946.7,25.8,195,44.6,78.07142857142857,60.34285714285714,68.24285714285715,75.67142857142858,58.0,5.828571428571428,0.3,0.0,30.7,52.75714285714286,24247.615714285716,4.928571428571429,12.42,5.857142857142857,3.564285714285714,2
22,Grand Forks Air Force Base,,47.96111111111112,-97.40111111111112,act,xlsx,,America/Chicago,2026-03-03T10:00,15.5,91,6.6,1,0.0,0.0,0.0,0.0,3,91,1019.2,983.8,11.2,327,16.2,36.17142857142857,19.857142857142858,28.099999999999998,28.514285714285716,9.457142857142857,1.0714285714285714,0.32857142857142857,0.44,28.457142857142856,51.957142857142856,23064.079999999998,3.542857142857143,10.577142857142857,2.5714285714285716,0.8085714285714286,1
