base_name,date,cluster_id,latitude,longitude,daily_weather_code,daily_temperature_2m_max,daily_temperature_2m_min,daily_temperature_2m_mean,daily_apparent_temperature_max,daily_apparent_temperature_min,daily_apparent_temperature_mean,daily_daylight_duration,daily_sunshine_duration,daily_precipitation_sum,daily_rain_sum,daily_snowfall_sum,daily_precipitation_hours,daily_wind_speed_10m_max,daily_wind_gusts_10m_max,daily_wind_direction_10m_dominant,daily_shortwave_radiation_sum,daily_et0_fao_evapotranspiration,daily_relative_humidity_2m_max,daily_relative_humidity_2m_min,daily_surface_pressure_max,daily_surface_pressure_min,daily_cloud_cover_mean,daily_wind_speed_10m_mean,daily_wind_gusts_10m_mean
Altus Air Force Base,2025-03-23,2,34.66638888888889,-99.26805555555556,3.0,77.0780258178711,47.88118362426758,62.934574127197266,71.4693832397461,41.852272033691406,56.583106994628906,44071.984375,39434.3125,0.03474109807075226,0.03253908171143943,0.0,0.02819715067744255,24.823951721191406,48.990840911865234,140.47820401809167,21.69634246826172,5.568630218505859,66.52300262451172,27.65433692932129,965.8743286132812,955.8206176757812,46.515953063964844,15.385751724243164,32.55796432495117
Altus Air Force Base,2025-03-24,2,34.66638888888889,-99.26805555555556,3.0,75.99623107910156,50.90017318725586,62.11826705932617,66.29676055908203,43.047889709472656,55.243736267089844,44221.03125,38328.83203125,0.02943083110872606,0.031185162783159127,0.0,0.09674052894115448,26.69464874267578,55.000064849853516,141.90238226635572,21.42186737060547,6.168934345245361,68.37255096435547,24.799766540527344,964.9882202148438,954.4076538085938,41.88546371459961,16.53799057006836,37.079708099365234
Altus Air Force Base,2025-03-25,2,34.66638888888889,-99.26805555555556,3.0,74.04869079589844,49.94634246826172,60.613502502441406,63.995662689208984,40.08873748779297,51.76231002807617,44309.859375,38601.22265625,0.022259165601742834,0.02970077452907655,0.0,0.06954457610845566,26.41078758239746,59.8486442565918,141.53969275827237,21.50743293762207,6.359012126922607,64.23822784423828,23.387487411499023,963.3434448242188,954.0541381835938,33.6830940246582,17.140064239501953,39.366695404052734
Altus Air Force Base,2025-03-26,2,34.66638888888889,-99.26805555555556,3.0,71.60799407958984,46.2444953918457,57.27894592285156,62.17660140991211,37.817298889160156,49.32622146606445,44422.5,38581.1015625,0.022299413484161687,0.04180859936448945,0.0,0.06083296239376068,27.724946975708008,58.354557037353516,141.39674942693912,21.462724685668945,6.232755661010742,57.405372619628906,21.119596481323242,962.6539916992188,953.3369140625,36.21572494506836,17.25847625732422,39.52988815307617
Altus Air Force Base,2025-03-27,2,34.66638888888889,-99.26805555555556,3.0,70.78048706054688,45.27008819580078,56.56555938720703,62.59617614746094,39.23265838623047,50.66271209716797,44562.87890625,39049.18359375,0.023157540356059124,0.05415670343103764,0.0,0.07878995686769485,28.675979614257812,57.994239807128906,141.99528169372024,21.630924224853516,6.075667381286621,60.9826774597168,22.133930206298828,963.7515258789062,952.8392333984375,36.628570556640625,17.09375,38.190792083740234
Altus Air Force Base,2025-03-28,2,34.66638888888889,-99.26805555555556,3.0,70.28421783447266,47.06727981567383,56.473419189453125,62.09386444091797,39.486488342285156,51.314395904541016,44661.234375,38218.25390625,0.01930025389734161,0.05270665654257123,0.0,0.07275416702032089,28.810352325439453,58.99107360839844,141.16186817155656,21.57191276550293,6.205319404602051,60.02970504760742,20.92683982849121,963.2594604492188,952.4227905273438,38.09762954711914,18.636354446411133,38.87353515625
Altus Air Force Base,2025-03-29,2,34.66638888888889,-99.26805555555556,3.0,69.05040740966797,47.04689407348633,56.961544036865234,62.24064636230469,41.15275192260742,51.51853561401367,44742.80859375,38253.80078125,0.024400571426184903,0.06740778848490107,0.0,0.10288374871015549,28.209930419921875,57.74884033203125,141.30507575348926,21.553451538085938,6.377473831176758,62.775550842285156,22.39203643798828,961.3563842773438,951.6331787109375,39.28645324707031,17.620990753173828,37.059757232666016
Joint Base Anacostia-Bolling,2025-03-23,1,38.84277777777778,-77.01611111111112,3.0,64.92086029052734,42.147438049316406,52.188961029052734,57.59093475341797,35.539432525634766,44.292423248291016,44204.9375,38703.16796875,0.0,0.0014145743592914356,0.0,0.035300273448228836,19.875957489013672,41.921356201171875,275.3921638102489,21.263471603393555,4.122574329376221,68.96870422363281,31.741552352905273,1017.5399169921875,1011.6702880859375,36.58454895019531,12.107675552368164,26.74479866027832
Joint Base Anacostia-Bolling,2025-03-24,1,38.84277777777778,-77.01611111111112,3.0,67.81673431396484,42.84823226928711,54.46074295043945,62.65376663208008,37.81404495239258,48.125186920166016,44326.05859375,39085.6953125,0.00860881199724321,0.004289444919828077,0.0,0.02400859072804451,18.758508682250977,40.75260543823242,287.41206957465744,21.504369735717773,4.249853134155273,74.04071807861328,32.356201171875,1017.6530151367188,1011.331787109375,40.763160705566406,11.049640655517578,24.503501892089844
Joint Base Anacostia-Bolling,2025-03-25,1,38.84277777777778,-77.01611111111112,3.0,68.74471282958984,44.22503662109375,55.78437805175781,64.7996597290039,39.53025436401367,49.907840728759766,44433.6328125,39159.3828125,0.0380511829657904,0.023819744194902973,0.0,0.007887418381869793,17.66960334777832,37.934913635253906,285.6263612154978,21.454206466674805,4.290358066558838,77.73711395263672,31.167205810546875,1017.6001586914062,1011.17236328125,39.05055236816406,11.178818702697754,23.844409942626953
Joint Base Anacostia-Bolling,2025-03-26,1,38.84277777777778,-77.01611111111112,3.0,69.4893569946289,45.389225006103516,58.37073516845703,65.50855255126953,41.12864303588867,51.98829650878906,44570.7578125,38930.30859375,0.0,0.019320244396683332,0.0,-0.007531439419835806,18.298582077026367,37.33158493041992,285.6263612154978,21.39714241027832,4.331333637237549,76.55770874023438,30.64468002319336,1017.2216186523438,1010.987548828125,38.94174575805664,11.439520835876465,24.825397491455078
Joint Base Anacostia-Bolling,2025-03-27,1,38.84277777777778,-77.01611111111112,3.0,72.18366241455078,46.89753723144531,59.740325927734375,67.77227020263672,42.70038604736328,53.06975555419922,44679.97265625,38821.38671875,0.0002428783707655805,0.01022282037286723,0.0,0.02549966797232628,18.4630069732666,37.77366256713867,285.3518884743288,21.38627815246582,4.417178153991699,74.41043090820312,30.070165634155273,1016.4712524414062,1010.1299438476562,42.57851028442383,11.021367073059082,23.694250106811523
Joint Base Anacostia-Bolling,2025-03-28,1,38.84277777777778,-77.01611111111112,3.0,74.06842803955078,47.98688888549805,60.87656784057617,68.59483337402344,43.392948150634766,55.37519454956055,44756.6171875,38459.078125,0.04207120806306799,0.02552377613308024,0.0,0.01783394068479538,19.586429595947266,38.49452209472656,285.6263612154978,21.07050132751465,4.446689128875732,73.90392303466797,30.8476619720459,1015.7054443359375,1010.0991821289062,43.26259994506836,11.648368835449219,24.227012634277344
Joint Base Anacostia-Bolling,2025-03-29,1,38.84277777777778,-77.01611111111112,3.0,75.07514190673828,49.39382553100586,62.60317611694336,68.39458465576172,44.175140380859375,57.3590087890625,44846.55078125,38350.80859375,0.042992344149901676,0.03945903628835645,0.0,0.02551109716296196,19.871719360351562,38.9576301574707,285.08902111364375,20.863542556762695,4.5601630210876465,73.28185272216797,32.114036560058594,1015.7177124023438,1009.541015625,42.90827178955078,11.93685531616211,23.980098724365234
Joint Base Andrews-Naval Air Facility Washington,2025-03-23,1,38.81083333333333,-76.86694444444444,3.0,65.09485626220703,41.93046569824219,51.40526580810547,57.249176025390625,34.60271072387695,43.82588577270508,44204.41015625,38040.3671875,0.0,0.0,0.0,-0.0005661310278810561,21.06159019470215,43.935401916503906,269.2548277614251,20.925893783569336,4.193056583404541,62.78305435180664,28.156665802001953,1009.4747924804688,1002.1107177734375,42.19621658325195,12.999476432800293,28.384126663208008
Joint Base Andrews-Naval Air Facility Washington,2025-03-24,1,38.81083333333333,-76.86694444444444,3.0,67.71521759033203,41.79720687866211,53.719329833984375,61.51970672607422,36.99562454223633,46.578948974609375,44330.1328125,38804.90625,0.0,0.0,0.0,0.016576476395130157,20.080224990844727,42.69791793823242,270.1433491897669,21.249631881713867,4.277523040771484,68.28971862792969,28.200780868530273,1009.8941650390625,1003.7180786132812,41.2727165222168,11.974942207336426,26.10796356201172
